"","spygen_code","protection_med"
"1","SPY180606","outside"
"2","SPY180607","outside"
"3","SPY180608","outside"
"4","SPY180609","outside"
"5","SPY180610","reserve"
"6","SPY180611","reserve"
"7","SPY180613","reserve"
"8","SPY180614","outside"
"9","SPY180615","outside"
"10","SPY180616","outside"
"11","SPY180617","outside"
"12","SPY180618","outside"
"13","SPY180619","reserve"
"14","SPY180620","reserve"
"15","SPY180621","reserve"
"16","SPY180623","reserve"
"17","SPY180624","outside"
"18","SPY180626","outside"
"19","SPY180627","reserve"
"20","SPY180628","outside"
"21","SPY180630","outside"
"22","SPY180631","outside"
"23","SPY180632","outside"
"24","SPY180633","outside"
"25","SPY180634","outside"
"26","SPY180635","outside"
"27","SPY180926","outside"
"28","SPY180927","reserve"
"29","SPY180928","outside"
"30","SPY180929","outside"
"31","SPY180930","reserve"
"32","SPY180931","outside"
"33","SPY180932","outside"
"34","SPY180933","outside"
"35","SPY180934","outside"
"36","SPY180935","outside"
"37","SPY180936","outside"
"38","SPY180937","outside"
"39","SPY181146","outside"
"40","SPY181147","reserve"
"41","SPY181148","outside"
"42","SPY181149","reserve"
"43","SPY181150","reserve"
"44","SPY181151","outside"
"45","SPY181152","outside"
"46","SPY181153","reserve"
"47","SPY181154","outside"
"48","SPY181155","outside"
"49","SPY181156","outside"
"50","SPY181157","outside"
"51","SPY181158","outside"
"52","SPY181159","outside"
"53","SPY181160","reserve"
"54","SPY181702","reserve"
"55","SPY181703","outside"
"56","SPY181704","outside"
"57","SPY181705","reserve"
"58","SPY181706","outside"
"59","SPY181707","reserve"
"60","SPY181709","outside"
"61","SPY181710","outside"
"62","SPY181711","outside"
"63","SPY181712","outside"
"64","SPY181713","reserve"
"65","SPY181714","outside"
"66","SPY181808","outside"
"67","SPY181809","outside"
"68","SPY181810","reserve"
"69","SPY181811","outside"
"70","SPY181812","reserve"
"71","SPY181813","outside"
"72","SPY181814","reserve"
"73","SPY181815","outside"
"74","SPY181816","outside"
"75","SPY181817","outside"
"76","SPY181818","reserve"
"77","SPY181819","reserve"
"78","SPY181820","outside"
"79","SPY181821","outside"
"80","SPY181822","outside"
"81","SPY181823","outside"
"82","SPY181825","outside"
"83","SPY181826","outside"
"84","SPY181827","outside"
"85","SPY181829","reserve"
"86","SPY181830","reserve"
"87","SPY181975","reserve"
"88","SPY182155","outside"
"89","SPY182160","outside"
"90","SPY182168","reserve"
"91","SPY182540","reserve"
"92","SPY182542","reserve"
"93","SPY182543","outside"
"94","SPY182544","outside"
"95","SPY182545","outside"
"96","SPY182546","outside"
"97","SPY192279","outside"
"98","SPY192280","reserve"
"99","SPY192284","outside"
"100","SPY192285","outside"
"101","SPY192289","reserve"
"102","SPY192305","reserve"
"103","SPY192306","outside"
"104","SPY192308","outside"
"105","SPY192312","reserve"
"106","SPY192316","outside"
"107","SPY192320","outside"
"108","SPY192323","outside"
